Hakusana	Homonymia	Sanaluokka	Taivutustiedot
3D-tulostin		S	
3D-tulostus		S	
4H-kerho		S	
4H-kerholainen		S	
4H-neuvoja		S	
4H-toiminta		S	
aah		P	99
aakkonen		S	38
aakkosellinen		A	38
aakkosellisesti		P	99
aakkosellisuus		S	40
aakkosittain		P	99
aakkosjärjestys		S	
aakkosnimi		S	
aakkosnumeerinen		A	
aakkostaa		V	53
aakkosto		S	2
aakkostus		S	39
aalloittain		P	99
aalloittainen		A	38
aalloittaisuus		S	40
aallokas		A	41*A
aallokko		S	4*A
aallonharja		S	
aallonmurtaja		S	
aallonpituus		S	
aallonpohja		S	
aallota		V	75*I
aallotar		S	32*C
